relative_sec,framework,test_type,http_200,vusers_failed,vusers_created,vusers_completed,request_rate,success_percent,error_percent
50,fastapi-async,write-heavy,402,0,200,193,40,100.0,0.0
60,fastapi-async,write-heavy,441,0,200,209,40,100.0,0.0
70,fastapi-async,write-heavy,330,0,200,188,40,100.0,0.0
80,fastapi-async,write-heavy,435,0,200,194,40,100.0,0.0
90,fastapi-async,write-heavy,436,0,200,214,40,100.0,0.0
100,fastapi-async,write-heavy,386,0,200,200,40,100.0,0.0
110,fastapi-async,write-heavy,394,0,200,207,40,100.0,0.0
120,fastapi-async,write-heavy,410,0,200,197,40,100.0,0.0
130,fastapi-async,write-heavy,414,0,200,208,40,100.0,0.0
140,fastapi-async,write-heavy,362,0,200,192,40,100.0,0.0
150,fastapi-async,write-heavy,431,0,200,199,40,100.0,0.0
160,fastapi-async,write-heavy,401,0,200,193,40,100.0,0.0
170,fastapi-async,write-heavy,393,0,200,209,40,100.0,0.0
180,fastapi-async,write-heavy,180,0,70,129,39,100.0,0.0
0,fastapi-sync,breakpoint-read,8,0,8,8,3,100.0,0.0
10,fastapi-sync,breakpoint-read,25,0,25,25,3,100.0,0.0
20,fastapi-sync,breakpoint-read,37,0,37,37,4,100.0,0.0
30,fastapi-sync,breakpoint-read,53,0,53,53,7,100.0,0.0
40,fastapi-sync,breakpoint-read,75,0,75,75,9,100.0,0.0
50,fastapi-sync,breakpoint-read,100,0,100,100,11,100.0,0.0
60,fastapi-sync,breakpoint-read,126,0,126,126,13,100.0,0.0
70,fastapi-sync,breakpoint-read,152,0,152,152,15,100.0,0.0
80,fastapi-sync,breakpoint-read,178,0,178,178,18,100.0,0.0
90,fastapi-sync,breakpoint-read,202,0,202,202,21,100.0,0.0
100,fastapi-sync,breakpoint-read,254,0,254,254,26,100.0,0.0
110,fastapi-sync,breakpoint-read,301,0,301,301,31,100.0,0.0
120,fastapi-sync,breakpoint-read,351,0,352,351,36,100.0,0.0
130,fastapi-sync,breakpoint-read,400,0,399,400,41,100.0,0.0
140,fastapi-sync,breakpoint-read,450,0,452,450,46,100.0,0.0
150,fastapi-sync,breakpoint-read,501,0,500,501,50,100.0,0.0
160,fastapi-sync,breakpoint-read,581,0,580,580,59,100.0,0.0
170,fastapi-sync,breakpoint-read,641,0,663,642,68,100.0,0.0
180,fastapi-sync,breakpoint-read,380,0,748,380,75,100.0,0.0
190,fastapi-sync,breakpoint-read,0,388,828,0,84,0.0,100.0
200,fastapi-sync,breakpoint-read,0,828,913,0,92,0.0,100.0
210,fastapi-sync,breakpoint-read,0,915,999,0,100,0.0,100.0
220,fastapi-sync,breakpoint-read,0,999,1149,0,117,0.0,100.0
230,fastapi-sync,breakpoint-read,0,1149,1322,0,133,0.0,100.0
240,fastapi-sync,breakpoint-read,0,1321,1483,0,148,0.0,100.0
250,fastapi-sync,breakpoint-read,0,1480,1646,0,166,0.0,100.0
260,fastapi-sync,breakpoint-read,0,1647,1818,0,181,0.0,100.0
270,fastapi-sync,breakpoint-read,0,1816,1920,0,195,0.0,100.0
280,fastapi-sync,breakpoint-read,0,1924,1527,0,154,0.0,100.0
290,fastapi-sync,breakpoint-read,0,1524,1020,0,102,0.0,100.0
300,fastapi-sync,breakpoint-read,0,1021,360,0,65,0.0,100.0
310,fastapi-sync,breakpoint-read,0,363,0,0,0,0.0,100.0
0,fastapi-sync,breakpoint-write,3,0,1,1,3,100.0,0.0
10,fastapi-sync,breakpoint-write,51,0,17,17,6,100.0,0.0
20,fastapi-sync,breakpoint-write,96,0,32,32,15,100.0,0.0
